ticker,date,period_ending,estimate,reported,surprise,surprise%
TCBX,10/23/2024,9/30/2024,0.54,0.74,0.2,37.0370
TCMD,11/4/2024,9/30/2024,0.18,0.21,0.03,16.6667
TCRX,11/12/2024,9/30/2024,-0.2918,-0.25,0.0418,14.3249
TDC,11/4/2024,9/30/2024,0.56,0.69,0.13,23.2143
TDG,11/7/2024,9/30/2024,9.27,9.83,0.56,6.0410
TDOC,10/30/2024,9/30/2024,-0.28,-0.19,0.09,32.1429
TDS,11/1/2024,9/30/2024,-0.18,-0.73,-0.55,-305.5556
TDUP,11/4/2024,9/30/2024,-0.15,-0.13,0.02,13.3333
TDW,11/7/2024,9/30/2024,1.09,0.87,-0.22,-20.1835
TDY,10/23/2024,9/30/2024,4.97,5.1,0.13,2.6157
TEAM,11/1/2024,9/30/2024,0.647,0.77,0.123,19.0108
TECH,10/30/2024,9/30/2024,0.38,0.42,0.04,10.5263
TENB,10/30/2024,9/30/2024,0.3,0.32,0.02,6.6667
TER,10/23/2024,9/30/2024,0.79,0.9,0.11,13.9241
TERN,11/12/2024,9/30/2024,-0.32,-0.28,0.04,12.5000
TEX,10/30/2024,9/30/2024,1.31,1.31,0,0.0000
TFC,10/17/2024,9/30/2024,0.91,0.97,0.06,6.5934
TFIN,10/16/2024,9/30/2024,0.18,0.19,0.01,5.5556
TFSL,10/30/2024,9/30/2024,0.06,0.06,0,0.0000
TFX,10/31/2024,9/30/2024,3.39,3.49,0.1,2.9499
TGI,11/4/2024,9/30/2024,0.01,0.1527,0.1427,1427.0000
TGLS,11/7/2024,9/30/2024,1,1.08,0.08,8.0000
TGNA,11/7/2024,9/30/2024,0.86,0.94,0.08,9.3023
TGT,11/20/2024,10/31/2024,2.3,1.85,-0.45,-19.5652
TGTX,11/4/2024,9/30/2024,0.03,0.02,-0.01,-33.3333
TH,11/6/2024,9/30/2024,0.12,0.1974,0.0774,64.5000
THC,10/29/2024,9/30/2024,2.37,2.93,0.56,23.6287
THFF,10/22/2024,9/30/2024,0.91,0.74,-0.17,-18.6813
THG,10/30/2024,9/30/2024,2.53,3.05,0.52,20.5534
THO,12/4/2024,10/31/2024,0.707,-0.03,-0.737,-104.2433
THR,10/31/2024,9/30/2024,0.37,0.38,0.01,2.7027
THRD,11/7/2024,9/30/2024,-0.29,-0.33,-0.04,-13.7931
THRM,10/30/2024,9/30/2024,0.66,0.75,0.09,13.6364
THRY,11/7/2024,9/30/2024,-0.78,-2.65,-1.87,-239.7436
THS,11/12/2024,9/30/2024,0.75,-0.0655,-0.8155,-108.7333
TILE,11/1/2024,9/30/2024,0.34,0.48,0.14,41.1765
TITN,11/28/2024,10/31/2024,0.02,0.07,0.05,250.0000
TJX,11/20/2024,10/31/2024,1.09,1.14,0.05,4.5872
TKO,11/6/2024,9/30/2024,0.51,0.28,-0.23,-45.0980
TKR,11/5/2024,9/30/2024,1.38,1.23,-0.15,-10.8696
TMCI,11/5/2024,9/30/2024,-0.27,-0.25,0.02,7.4074
TMDX,10/28/2024,9/30/2024,0.29,0.12,-0.17,-58.6207
TMHC,10/23/2024,9/30/2024,2.06,2.37,0.31,15.0485
TMO,10/23/2024,9/30/2024,5.25,5.28,0.03,0.5714
TMP,10/25/2024,9/30/2024,1.21,1.3,0.09,7.4380
TMUS,10/23/2024,9/30/2024,2.42,2.61,0.19,7.8512
TNC,10/29/2024,9/30/2024,1.44,1.39,-0.05,-3.4722
TNDM,11/6/2024,9/30/2024,-0.4,-0.35,0.05,12.5000
TNET,10/25/2024,9/30/2024,1.32,1.17,-0.15,-11.3636
TNGX,11/6/2024,9/30/2024,-0.37,-0.27,0.1,27.0270
TNK,10/30/2024,9/30/2024,2.01,1.84,-0.17,-8.4577
TNL,10/23/2024,9/30/2024,1.49,1.57,0.08,5.3691
TNYA,11/7/2024,9/30/2024,-0.3671,-0.3,0.0671,18.2784
TOL,12/9/2024,10/31/2024,4.34,4.63,0.29,6.6820
TOST,11/7/2024,9/30/2024,0.01,0.07,0.06,600.0000
TOWN,10/23/2024,9/30/2024,0.56,0.58,0.02,3.5714
TPB,11/7/2024,9/30/2024,0.72,0.87,0.15,20.8333
TPC,11/6/2024,9/30/2024,-1.89,-1.92,-0.03,-1.5873
